长江三角洲 三角洲
手 上肢
白芷 中药材
黄芪 中药材
人参 中药材
鹿角 中药材
枸杞 中药材
苦参 中药材
樟脑 中药材
虎骨 中药材
羊角 中药材
蚯蚓 中药材
槲寄生 中药材
白芍 中药材
川贝 中药材
牛黄 中药材
阿胶 中药材
莲子 中药材
党参 中药材
蜂蜜 中药材
龙葵 中药材
杜仲 中药材
肉豆蔻 中药材
牡蛎 中药材
扁豆 中药材
辛夷 中药材
灯芯草 中药材
黄栌 中药材
枇杷 中药材
丹皮 中药材
柳枝 中药材
浮萍 中药材
红参 中药材
蜂蜡 中药材
赤芍 中药材
梅花 中药材
仙人掌 中药材
益母草 中药材
鹿茸 中药材
蜈蚣 中药材
胡桃 中药材
地黄 中药材
石竹 中药材
连翘 中药材
海蜇 中药材
罗汉果 中药材
雪莲 中药材
鸡血藤 中药材
射干 中药材
槟榔 中药材
栀子 中药材
佛手 中药材
山楂 中药材
五味子 中药材
芍药 中药材
生姜 中药材
当归 中药材
蛇蜕 中药材
龙胆 中药材
牛蒡 中药材
三七 中药材
麻黄 中药材
豆豉 中药材
乌头 中药材
黄连 中药材
菖蒲 中药材
合欢 中药材
柴胡 中药材
昆布 中药材
板蓝根 中药材
荷叶 中药材
川芎 中药材
紫苏 中药材
半夏 中药材
银杏 中药材
紫芝 中药材
甘草 中药材
何首乌 中药材
肉桂 中药材
芦荟 中药材
羊乳 中药材
车前子 中药材
丹参 中药材
米饭 主食
面条 主食
大饼 主食
弦乐器 乐器
锣 乐器
口琴 乐器
长笛 乐器
电子琴 乐器
小号 乐器
短笛 乐器
古筝 乐器
笛 乐器
中提琴 乐器
钢琴 乐器
胡琴 乐器
琵琶 乐器
大提琴 乐器
箫 乐器
二胡 乐器
单簧管 乐器
鼓 乐器
手风琴 乐器
吉他 乐器
筝 乐器
笛子 乐器
风琴 乐器
小提琴 乐器
竹笛 乐器
编钟 乐器
唢呐 乐器
管乐器 乐器
竖琴 乐器
双簧管 乐器
扬琴 乐器
笙 乐器
圆号 乐器
简谱 乐谱
五线谱 乐谱
圣经 书
史记 书
字典 书
论语 书
红楼梦 书
牡丹亭 书
金瓶梅 书
词典 书
金刚经 书
西游记 书
周易 书
水浒传 书
炼乳 乳制品
酸奶 乳制品
奶粉 乳制品
奶糖 乳制品
奶油 乳制品
奶酪 乳制品
灭菌奶 乳制品
嵩山 五岳
恒山 五岳
泰山 五岳
无名指 五指
食指 五指
小麦 五谷
大豆 五谷
稻谷 五谷
探戈 交谊舞
华尔兹 交谊舞
伦巴 交谊舞
弟 人
输家 人
女子 人
土著人 人
媳妇 人
帮主 人
养女 人
斯大林 人
双亲 人
雕塑家 人
恶霸 人
罪犯 人
宇航员 人
人类学家 人
教工 人
人潮 人
学者 人
李白 人
公众 人
知情人 人
厂长 人
全员 人
次长 人
同伴 人
狄更斯 人
女婿 人
社会学家 人
通讯员 人
始祖 人
组长 人
歌迷 人
孺子 人
原住民 人
后卫 人
县长 人
梵 人
中间派 人
响马 人
巨子 人
先烈 人
董事长 人
模特 人
陶艺家 人
台胞 人
执行官 人
陛下 人
白领 人
受试者 人
厂商 人
官吏 人
外行 人
商贩 人
技术员 人
老友 人
批发商 人
检察长 人
帝王 人
分子 人
巫婆 人
古董 人
和尚 人
长辈 人
嘉宾 人
裔 人
伉俪 人
读者 人
小兵 人
院长 人
外方 人
爱因斯坦 人
市民 人
名将 人
所有人 人
研究者 人
技师 人
国母 人
毕业生 人
上班族 人
政论家 人
亲人 人
遇难者 人
妻子 人
用户 人
士 人
后嗣 人
亲族 人
总设计师 人
发行商 人
营业员 人
人物 人
佃农 人
团长 人
汉 人
娇娘 人
研究员 人
校友 人
孙中山 人
港督 人
在逃犯 人
黑人 人
来访者 人
抗议者 人
傻子 人
酒商 人
运动员 人
经理 人
私娼 人
骑警 人
司仪 人
负责人 人
干警 人
妹妹 人
阿婆 人
异己 人
教授 人
储户 人
水兵 人
弟妹 人
菲律宾人 人
剧作家 人
汉子 人
穷人 人
外婆 人
渔工 人
造假者 人
演员 人
好友 人
管理者 人
同志 人
小工 人
后母 人
太太 人
同党 人
高中生 人
出版商 人
人选 人
家眷 人
侨民 人
批评家 人
副董事长 人
科员 人
经纪人 人
暴徒 人
护士 人
劲旅 人
实习生 人
成员 人
党代表 人
暴君 人
店员 人
